,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1709,303179.88342440804,157.72560300833626,159254.74394696168,217862.14349822275,15743.680525640653,0.26564944974459803,397183.5322617926,0.29142427094198037,1171242.66089581,106312.5278875038,2761.0171379187186,11197.43602600629,74185.53273864131,10,202118.4629725821,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2000,Aug04v1,CONUS,-1,94,2000,-1,-1,-1,29521.16846845853,159254.74394696168,157.72560300833626,74185.53273864131,-15742.680525640653,15743.680525640653
1207,300386.00776255707,36.94010545463978,151817.19288952296,217862.14349822275,16269.408533751593,0.2665236620306841,397183.5322617926,0.28209007728539764,1171242.66089581,106312.5278875038,3219.7555194569804,12566.034216206606,44110.647635723755,2,201592.7349644712,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2001,Aug04v1,CONUS,-1,94,2001,-1,-1,-1,28324.338009251653,151817.19288952296,36.94010545463978,44110.647635723755,-16268.408533751593,16269.408533751593
16,306273.04497716896,67.79582150012138,159425.42632297802,217862.14349822275,16815.62418306182,0.2699333133065723,397183.5322617926,0.2919699785137299,1171242.66089581,106312.5278875038,3290.193973262172,11968.795948602383,58910.09206858155,4,201046.51931516096,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2002,Aug04v1,CONUS,-1,94,2002,-1,-1,-1,28644.349311872502,159425.42632297802,67.79582150012138,58910.09206858155,-16814.62418306182,16815.62418306182
1496,301020.0848173516,28.355763474252456,146957.66524270517,217862.14349822275,18190.23430275046,0.26609755344689456,397183.5322617926,0.2770270805637365,1171242.66089581,106312.5278875038,3565.7264935402973,13442.17318178519,24027.6526858653,3,199671.9091954723,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2003,Aug04v1,CONUS,-1,94,2003,-1,-1,-1,28278.77430582369,146957.66524270517,28.355763474252456,24027.6526858653,-18189.23430275046,18190.23430275046
71,298534.8805783242,8.472099179336242,153113.30454689576,217862.14349822275,15218.563116574063,0.2630067437968984,397183.5322617926,0.2837104588029233,1171242.66089581,106312.5278875038,3010.0210504081547,12915.84475064936,9415.635479537663,2,202643.5803816487,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2004,Aug04v1,CONUS,-1,94,2004,-1,-1,-1,28017.621718100407,153113.30454689576,8.472099179336242,9415.635479537663,-15217.563116574063,15218.563116574063
756,306573.67842465756,40.30392807009336,146406.7174411852,217862.14349822275,22998.589125267816,0.263908294234211,397183.5322617926,0.2778754068242968,1171242.66089581,106312.5278875038,3041.0724762929517,14366.628752158995,30865.50565467187,7,194863.55437295497,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2005,Aug04v1,CONUS,-1,94,2005,-1,-1,-1,28499.087152410284,146406.7174411852,40.30392807009336,30865.50565467187,-22997.589125267816,22998.589125267816
1128,301608.11278538813,4.012113238588272,163570.0102811009,217862.14349822275,18281.556238971323,0.2662303199285058,397183.5322617926,0.29154296017985637,1171242.66089581,106312.5278875038,2854.718062536104,9513.069365478352,8786.527992508316,1,199580.58725925145,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2006,Aug04v1,CONUS,-1,94,2006,-1,-1,-1,28037.252824469597,163570.0102811009,4.012113238588272,8786.527992508316,-18280.556238971323,18281.556238971323
1280,308302.8090182648,31.769345486426,159105.36913326842,217862.14349822275,18961.631197168397,0.2674591808935575,397183.5322617926,0.29241424879911904,1171242.66089581,106312.5278875038,2731.6863306856803,11406.437152829501,36626.72506019118,3,198900.5123010544,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2007,Aug04v1,CONUS,-1,94,2007,-1,-1,-1,28329.086318821366,159105.36913326842,31.769345486426,36626.72506019118,-18960.631197168397,18961.631197168397
242,304088.1985428051,21.526470596872255,184359.10726693505,217862.14349822275,16598.944550079283,0.2707288729496559,397183.5322617926,0.3112675948006041,1171242.66089581,106312.5278875038,2447.8539197701075,10572.333247062294,40129.80412620958,3,201263.19894814352,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2008,Aug04v1,CONUS,-1,94,2008,-1,-1,-1,28177.112030936372,184359.10726693505,21.526470596872255,40129.80412620958,-16597.944550079283,16598.944550079283
1180,300992.27808219177,22.16002343429964,163190.55936589174,217862.14349822275,16993.976281801934,0.2671937081846535,397183.5322617926,0.2914569861661884,1171242.66089581,106312.5278875038,2924.5668811487562,12942.930297949944,24538.51026806413,2,200868.16721642084,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2009,Aug04v1,CONUS,-1,94,2009,-1,-1,-1,28191.731374724866,163190.55936589174,22.16002343429964,24538.51026806413,-16992.976281801934,16993.976281801934
