,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3585,298625.0382158339,0,0.26313796187196065,648446.3897319422,0.2767789706733801,1948688.0728436322,2735269.3192663793,optimal,nYrs_20210220_SWB_iter00394,Jan29v1,CONUS,4,94-94-01-92,-1,-1,-1,60880.24523013875,410778.606633029,0.0,0.0,1.0,0.0
3186,301452.677532512,0,0.2637661398006713,761886.1984567834,0.2797358567601557,1834480.9092187586,2310593.8168265754,optimal,nYrs_20210220_SWB_iter00004,Jan29v1,CONUS,4,94-98-85-04,-1,-1,-1,57610.47483833587,412163.2786272998,0.0,0.0,1.0,0.0
3232,302478.7338295688,0,0.2620783392106527,775481.5707360025,0.28059694839805366,2290112.4299590257,1719785.0459668909,optimal,nYrs_20210220_SWB_iter00467,Jan29v1,CONUS,4,95-09-04-83,-1,-1,-1,60759.34621409389,543108.0774965029,0.0,0.0,1.0,0.0
3234,305100.9178359571,0,0.2653911537883871,632142.4866809049,0.28543233697363934,2438827.1954562184,1423156.63030478,optimal,nYrs_20210220_SWB_iter00169,Jan29v1,CONUS,4,95-12-18-90,-1,-1,-1,58837.145162917026,558172.0661554019,0.0,0.0,1.0,0.0
3495,303621.92413871776,0,0.2653619546240633,919117.9127655176,0.2828746382390118,2204621.717631497,2908219.513150994,optimal,nYrs_20210220_SWB_iter00497,Jan29v1,CONUS,4,95-17-89-00,-1,-1,-1,70252.30601269343,563309.5582990872,0.0,0.0,1.0,0.0
3634,306044.5955110655,0,0.26685676576126244,810994.3787354871,0.29377349797775204,2205685.8626639843,1533299.8120362868,optimal,nYrs_20210220_SWB_iter00416,Jan29v1,CONUS,4,95-79-11-16,-1,-1,-1,58563.444226375665,557989.0362979571,0.0,0.0,1.0,0.0
3436,304290.22544490075,0,0.2644273171904779,677986.404094971,0.2870004672919785,2354551.6510578366,1598197.761793793,optimal,nYrs_20210220_SWB_iter00428,Jan29v1,CONUS,4,95-82-12-07,-1,-1,-1,59453.77874671535,550412.4100854712,0.0,0.0,1.0,0.0
3623,304151.1167237443,0,0.2619664957845979,803269.291697804,0.2795977605799689,2171486.674446987,1813497.5924384007,optimal,nYrs_20210220_SWB_iter00311,Jan29v1,CONUS,4,95-95-83-06,-1,-1,-1,59961.37961270154,513049.11174134444,0.0,0.0,1.0,0.0
3611,301662.4954654346,0,0.2656762270056571,795445.7308593811,0.28921271892928135,2195783.3595535345,1710153.9242239788,optimal,nYrs_20210220_SWB_iter00013,Jan29v1,CONUS,4,95-97-90-20,-1,-1,-1,59474.76191262164,544061.3782245205,0.0,0.0,1.0,0.0
3654,304775.1418834132,0,0.26416805049075126,595441.2018997383,0.2796135898522966,2427366.2727005375,1755676.498505678,optimal,nYrs_20210220_SWB_iter00493,Jan29v1,CONUS,4,95-98-16-95,-1,-1,-1,60554.612415341464,530852.7308676757,0.0,0.0,1.0,0.0
3386,304643.7401541096,0,0.26391809183466486,621049.5048482883,0.2746143948078202,2576629.2278548707,1580367.8337102772,optimal,nYrs_20210220_SWB_iter00469,Jan29v1,CONUS,4,95-98-95-05,-1,-1,-1,62033.303895203135,566548.0166000712,0.0,0.0,1.0,0.0
3289,302304.3649543379,0,0.26467127581870165,662382.4381933258,0.28549895799742164,2357057.6231190395,1695386.440713845,optimal,nYrs_20210220_SWB_iter00077,Jan29v1,CONUS,4,95-99-91-94,-1,-1,-1,59977.27239441261,545692.9861471474,0.0,0.0,1.0,0.0
3489,303206.15976972185,0,0.26565533521950463,1454206.4864879155,0.28848175639502416,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00080,Jan29v1,CONUS,4,96-04-13-05,-1,-1,-1,78303.515697356,449785.2711287467,0.0,0.0,1.0,0.0
3658,302696.02245782036,0,0.26528623457715,1454206.4864879155,0.2816718013573379,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00321,Jan29v1,CONUS,4,96-04-87-02,-1,-1,-1,78303.515697356,441291.9581497624,0.0,0.0,1.0,0.0
3650,307062.77138945926,0,0.26498066947968474,1454206.4864879153,0.2875920873449741,1276924.625880904,4945641.589556516,optimal,nYrs_20210220_SWB_iter00045,Jan29v1,CONUS,4,96-05-10-95,-1,-1,-1,78303.51569735601,437172.65094164247,0.0,0.0,1.0,0.0
3530,302680.3763109895,0,0.26358417462715866,1454206.4864879155,0.28818153044643746,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00208,Jan29v1,CONUS,4,96-12-91-82,-1,-1,-1,78303.515697356,447165.8363046775,0.0,0.0,1.0,0.0
3307,302112.21671800135,0,0.2657445201590563,1454206.4864879155,0.29604274993039836,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00124,Jan29v1,CONUS,4,96-14-79-90,-1,-1,-1,78303.515697356,460764.28798744385,0.0,0.0,1.0,0.0
3494,303451.33757689677,0,0.2655733906542312,1454206.4864879143,0.29820168254016133,1276924.6258809052,4945641.589556514,optimal,nYrs_20210220_SWB_iter00249,Jan29v1,CONUS,4,96-16-17-96,-1,-1,-1,78303.51569735598,462070.69792962394,0.0,0.0,1.0,0.0
3492,301203.7037132101,0,0.26703339479363797,1454206.4864879155,0.29271526710328005,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00184,Jan29v1,CONUS,4,96-79-94-99,-1,-1,-1,78303.515697356,459511.5846175132,0.0,0.0,1.0,0.0
3212,303366.5326545745,0,0.2654987486651214,1454206.4864879155,0.2964336254529715,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00052,Jan29v1,CONUS,4,96-82-11-09,-1,-1,-1,78303.515697356,459727.99826649507,0.0,0.0,1.0,0.0
