Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1043,301020.0848173516,441.502703877212,379424.14038467593,0,0.0,0.26609755344689456,523849.8449524247,0.2770270805637365,1952456.962999524,1904329.033680045,2470.930917727568,120971.12173241652,192021.50136036664,7,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2003,Aug04v1,CONUS,-1,94,2003,-1,-1,-1,57404.13454960872,379424.14038467593,441.502703877212,192021.50136036664,1.0,0.0
1387,298534.8805783242,0.0,392909.001592401,0,0.0,0.2630067437968984,523849.8449524247,0.2837104588029233,1952456.962999524,1904329.033680045,2378.326319627633,32586.688841703653,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2004,Aug04v1,CONUS,-1,94,2004,-1,-1,-1,52989.10751083659,392909.001592401,0.0,0.0,1.0,0.0
1623,306573.6784246576,967.4516335331117,374746.9577045294,0,0.0,0.263908294234211,523849.8449524247,0.2778754068242968,1952456.962999524,1904329.033680045,3898.1412927708807,160254.964100859,176543.64614487602,25,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2005,Aug04v1,CONUS,-1,94,2005,-1,-1,-1,62663.623846167706,374746.9577045294,967.4516335331117,176543.64614487602,1.0,0.0
962,301608.1127853881,94.2334514021425,406825.6154834465,0,0.0,0.2662303199285058,523849.8449524247,0.2915429601798564,1952456.962999524,1904329.033680045,3137.525054792833,151714.83835800266,87905.94330951518,4,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2006,Aug04v1,CONUS,-1,94,2006,-1,-1,-1,53931.44202485802,406825.6154834465,94.2334514021425,87905.94330951518,1.0,0.0
368,308302.8090182648,358.71428871919665,402748.67855743936,0,0.0,0.2674591808935575,523849.8449524247,0.29241424879911904,1952456.962999524,1904329.033680045,3060.9461127469813,162736.171572941,170972.81880272372,13,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2007,Aug04v1,CONUS,-1,94,2007,-1,-1,-1,56576.25039802856,402748.67855743936,358.71428871919665,170972.81880272372,1.0,0.0
749,304088.1985428051,144.9599170817707,445357.3839789332,0,0.0,0.2707288729496559,523849.8449524247,0.3112675948006041,1952456.962999524,1904329.033680045,2303.575903065535,115691.45408127105,161574.02432676347,4,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2008,Aug04v1,CONUS,-1,94,2008,-1,-1,-1,54438.706681654316,445357.3839789332,144.9599170817707,161574.02432676347,1.0,0.0
491,300992.27808219177,142.7584653006971,407863.5244550936,0,0.0,0.2671937081846535,523849.8449524247,0.2914569861661884,1952456.962999524,1904329.033680045,2808.0646310469624,139806.59511930513,148653.69506436118,4,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2009,Aug04v1,CONUS,-1,94,2009,-1,-1,-1,54416.69216384357,407863.5244550936,142.7584653006971,148653.69506436118,1.0,0.0
432,314756.4660958904,1411.3266881754905,395811.62523109897,0,0.0,0.265923764832733,523849.8449524247,0.2921084441681488,1952456.962999524,1904329.033680045,4274.071976237624,146449.69104102007,215791.09354804576,30,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2010,Aug04v1,CONUS,-1,94,2010,-1,-1,-1,67102.37439259149,395811.62523109897,1411.3266881754905,215791.09354804576,1.0,0.0
74,310507.2966894977,78.91650462998861,444342.97141458787,0,0.0,0.2715464541660344,523849.8449524247,0.3138256528891121,1952456.962999524,1904329.033680045,1870.6470356846555,130301.40500500995,74315.39943042562,4,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2011,Aug04v1,CONUS,-1,94,2011,-1,-1,-1,53778.272557136486,444342.97141458787,78.91650462998861,74315.39943042562,1.0,0.0
1302,304626.13957194897,197.98752857728508,415118.8407997522,0,0.0,0.27001853277040194,523849.8449524247,0.29619830568552274,1952456.962999524,1904329.033680045,1946.569810587648,29926.150453817587,134522.29298654394,7,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2012,Aug04v1,CONUS,-1,94,2012,-1,-1,-1,54968.98279660945,415118.8407997522,197.98752857728508,134522.29298654394,1.0,0.0
1678,305395.1433789954,0.0,404687.07325077354,0,0.0,0.2691500907322936,523849.8449524247,0.2916084347454845,1952456.962999524,1904329.033680045,2380.107758548616,43122.588387348216,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2013,Aug04v1,CONUS,-1,94,2013,-1,-1,-1,52989.1075108366,404687.07325077354,0.0,0.0,1.0,0.0
1013,305191.95707762556,74.65302972156675,443588.25485539646,0,0.0,0.2650796826455621,523849.8449524247,0.3124546051342735,1952456.962999524,1904329.033680045,1881.705437148343,133450.59497455927,55667.90481010262,5,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2014,Aug04v1,CONUS,-1,94,2014,-1,-1,-1,53735.63780805226,443588.25485539646,74.65302972156675,55667.90481010262,1.0,0.0
1155,305580.20993150683,630.6529884437692,372530.3045262984,0,0.0,0.2605947335874114,523849.8449524247,0.2772280830048403,1952456.962999524,1904329.033680045,2763.6291583292964,133237.00366498914,233010.44349323856,10,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2015,Aug04v1,CONUS,-1,94,2015,-1,-1,-1,59295.63739527429,372530.3045262984,630.6529884437692,233010.44349323856,1.0,0.0
358,307092.9352231329,366.11429799688386,413235.1565502565,0,0.0,0.26490610678651355,523849.8449524247,0.2978223001247438,1952456.962999524,1904329.033680045,2638.7111382451985,97108.22620622971,172803.91722193852,11,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2016,Aug04v1,CONUS,-1,94,2016,-1,-1,-1,56650.25049080544,413235.1565502565,366.11429799688386,172803.91722193852,1.0,0.0
600,302036.3121004566,0.0,409255.7599254176,0,0.0,0.26426189793513105,523849.8449524247,0.293547134797889,1952456.962999524,1904329.033680045,2513.1145608954225,35512.8988819839,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2017,Aug04v1,CONUS,-1,94,2017,-1,-1,-1,52989.1075108366,409255.7599254176,0.0,0.0,1.0,0.0
