Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,to_PGP capacity,to_PGP dispatch,PGP_storage capacity,PGP_storage dispatch,PGP_storage stored,from_PGP capacity,from_PGP dispatch,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
244,314756.4660958904,7347.726204427858,65266.36332911415,0,0.0,0.265923764832733,414846.64055313147,0.2921084441681488,987897.7919546028,289227.5661441207,11397.933810279084,63944.68743378102,66054.77668462595,34242.761514027494,134724009.09325358,34242.30578907273,39975873.22599293,232953.92373452405,23969.614052350917,281773.80960326036,154,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2010,Aug04v1,CONUS,-1,7,2010,-1,-1,-1,113957.29104117115,65266.36332911415,7347.726204427858,281773.80960326036,1.0,0.0
1231,310507.2966894977,2850.3201679398658,95180.89559193395,0,0.0,0.2715464541660344,414846.64055313147,0.3138256528891121,987897.7919546028,289227.5661441207,6879.296452000761,70496.68387021107,66054.77668462595,26180.73507023392,134724009.09325358,26180.38281428312,30899644.851712383,232953.92373452405,18326.26796999818,216158.53067143285,63,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2011,Aug04v1,CONUS,-1,7,2011,-1,-1,-1,68983.21697091871,95180.89559193395,2850.3201679398658,216158.53067143285,1.0,0.0
869,304626.13957194897,1262.8978006140262,77942.46156699558,0,0.0,0.27001853277040194,414846.64055313147,0.29619830568552274,987897.7919546028,289227.5661441207,7805.8425264265625,82260.32634812343,66054.77668462595,30821.569256456016,134724009.09325358,30821.16146775082,35770939.10719434,232953.92373452405,21574.81302742557,200218.60667435327,44,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2012,Aug04v1,CONUS,-1,7,2012,-1,-1,-1,53109.00118703956,77942.46156699558,1262.8978006140262,200218.60667435327,1.0,0.0
1586,305395.1433789954,1152.022150270352,72729.3618897228,0,0.0,0.2691500907322936,414846.64055313147,0.2916084347454845,987897.7919546028,289227.5661441207,8571.079056964341,83131.81170292567,66054.77668462595,29934.264898197755,134724009.09325358,29933.778208963507,42692038.14850562,232953.92373452405,20953.644746274455,206668.1606028176,27,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2013,Aug04v1,CONUS,-1,7,2013,-1,-1,-1,52000.243175130185,72729.3618897228,1152.022150270352,206668.1606028176,1.0,0.0
1339,305191.95707762556,0.0,90525.66093966145,0,0.0,0.2650796826455621,414846.64055313147,0.3124546051342735,987897.7919546028,289227.5661441207,6742.6074561741525,74917.73673638326,66054.77668462595,30433.1883472404,134724009.09325358,30432.83153346932,31299453.66698345,232953.92373452405,21302.982073428524,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2014,Aug04v1,CONUS,-1,7,2014,-1,-1,-1,40480.022520687446,90525.66093966145,0.0,0.0,1.0,0.0
199,305580.20993150683,1044.465145226624,51278.81765558101,0,0.0,0.2605947335874114,414846.64055313147,0.2772280830048403,987897.7919546028,289227.5661441207,7773.372022784654,82684.85853369268,66054.77668462595,34725.75903321092,134724009.09325358,34725.079303542116,59625409.62195763,232953.92373452405,24307.555512479477,203163.7771581552,23,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2015,Aug04v1,CONUS,-1,7,2015,-1,-1,-1,50924.68127009781,51278.81765558101,1044.465145226624,203163.7771581552,1.0,0.0
1268,307092.9352231329,0.0,73137.81559181341,0,0.0,0.26490610678651355,414846.64055313147,0.2978223001247438,987897.7919546028,289227.5661441207,8024.778632694204,98301.72462577793,66054.77668462595,31554.307900797787,134724009.09325358,31553.809559408823,43714157.013818905,232953.92373452405,22087.66669158617,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2016,Aug04v1,CONUS,-1,7,2016,-1,-1,-1,40480.024426491625,73137.81559181341,0.0,0.0,1.0,0.0
1142,302036.3121004566,1317.2265372124307,75508.3842003443,0,0.0,0.26426189793513105,414846.64055313147,0.293547134797889,987897.7919546028,289227.5661441207,6838.429468891101,73808.1401835259,66054.77668462595,31066.629078677026,134724009.09325358,31066.124497691966,44261489.98453316,232953.92373452405,21746.287148384374,190483.89594621307,37,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2017,Aug04v1,CONUS,-1,7,2017,-1,-1,-1,53652.288969557565,75508.3842003443,1317.2265372124307,190483.89594621307,1.0,0.0
1682,312238.38778538816,4255.015151193716,51603.16932786074,0,0.0,0.26412747334661285,414846.64055313147,0.27867265294554433,987897.7919546028,289227.5661441207,7928.218119951903,77037.4252982516,66054.77668462595,33495.551066702705,134724009.09325358,33495.14968195646,35209188.271609515,232953.92373452405,23446.604777369517,285985.96817723423,90,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2018,Aug04v1,CONUS,-1,7,2018,-1,-1,-1,83030.17923861001,51603.16932786074,4255.015151193716,285985.96817723423,1.0,0.0
521,308819.6184931507,0.0,63200.89978401541,0,0.0,0.2641655045338622,414846.64055313147,0.2897661834580256,987897.7919546028,289227.5661441207,8113.607537631175,86089.37268948734,66054.77668462595,31464.549795085917,134724009.09325358,31463.998139011983,48390883.76531059,232953.92373452405,22024.798697308383,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2019,Aug04v1,CONUS,-1,7,2019,-1,-1,-1,40480.024273865514,63200.89978401541,0.0,0.0,1.0,0.0
