,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3769,305259.694913578,292070.7759267615,0.2660245601319506,417156.9585432062,0.28923740855053764,1266707.7674844568,51241.68565294895,optimal,nYrs_20210220_SWBNG_iter00048,Jan29v1,CONUS,15,14-99-87-14-13-98-11-91-06-89-88-85-10-20-93,-1,-1,-1,30104.419506510952,187182.01369471263,0.0,0.0,-15172.050000000017,15173.050000000017
3708,304802.50899379107,287083.0976556959,0.2637699220835843,433767.6068152295,0.2807814243656927,1286572.2992148632,74735.23071613602,optimal,nYrs_20210220_SWBNG_iter00136,Jan29v1,CONUS,15,15-06-12-82-06-10-91-06-87-89-19-10-81-89-82,-1,-1,-1,30790.07650774993,185905.6735634767,0.0,0.0,-15172.05,15173.05
3768,304259.9978634428,329117.9793700265,0.26507918404205455,439477.269009887,0.28526092952462356,1244657.3215757639,142269.68661450772,optimal,nYrs_20210220_SWBNG_iter00010,Jan29v1,CONUS,15,15-81-06-09-15-79-92-08-10-96-20-89-81-12-10,-1,-1,-1,31127.526059895117,181712.8582980473,0.0,0.0,-15172.050000000063,15173.050000000063
3739,303891.0100115635,292204.3762186272,0.26468794824600755,414549.25254516327,0.2850466056437277,1254288.2659979109,58537.17590742073,optimal,nYrs_20210220_SWBNG_iter00126,Jan29v1,CONUS,15,15-82-15-17-08-94-20-90-09-09-93-89-87-19-10,-1,-1,-1,29922.09309073903,178439.64322729112,0.0,0.0,-15172.049999999996,15173.049999999996
3767,305568.1809914842,329111.51045052015,0.2646703308648662,432859.81548184826,0.2871873235394787,1255987.2254264674,140222.92001833944,optimal,nYrs_20210220_SWBNG_iter00006,Jan29v1,CONUS,15,15-84-10-95-81-79-88-16-09-02-99-80-96-10-91,-1,-1,-1,31195.756730035613,184650.771181045,0.0,0.0,-15172.050000000021,15173.050000000021
3747,304806.763997871,332901.50716440805,0.26742996202131986,435617.73783551535,0.2917664797220071,1175761.9982955342,139738.38069662353,optimal,nYrs_20210220_SWBNG_iter00033,Jan29v1,CONUS,15,15-89-19-93-96-09-20-13-12-90-20-18-11-99-12,-1,-1,-1,29987.927390192996,169199.7411216743,0.0,0.0,-15172.049999999686,15173.049999999686
3712,303775.9572148162,290797.37221847504,0.2653493988461209,420778.9619771705,0.2816904696165042,1260756.1407101275,64250.54593605587,optimal,nYrs_20210220_SWBNG_iter00062,Jan29v1,CONUS,15,15-90-83-94-08-98-01-89-11-90-89-79-95-19-89,-1,-1,-1,30145.472424745418,178084.48163682394,0.0,0.0,-15172.050000000025,15173.050000000025
3774,303835.5956888686,292885.8568897539,0.26540937353073485,412700.085580071,0.2844790397628266,1256443.481318342,52194.46363389214,optimal,nYrs_20210220_SWBNG_iter00105,Jan29v1,CONUS,15,16-01-16-85-79-98-12-15-00-97-89-01-89-88-85,-1,-1,-1,29889.51593825487,178214.44515673484,0.0,0.0,-15172.049999999948,15173.049999999948
3702,304053.42705673113,330725.32664708764,0.2637860945950209,427969.3487955595,0.2868404407244386,1230655.9720417096,138401.38627839976,optimal,nYrs_20210220_SWBNG_iter00129,Jan29v1,CONUS,15,16-12-96-81-04-19-93-00-93-86-14-88-87-96-15,-1,-1,-1,30721.090995585047,167847.1058981306,0.0,0.0,-15172.050000000076,15173.050000000076
3716,304969.5787223034,289983.0268444113,0.26453220203375977,414894.8292989499,0.2852338701624291,1284353.0008979002,57515.158172026815,optimal,nYrs_20210220_SWBNG_iter00142,Jan29v1,CONUS,15,16-19-10-89-10-97-01-01-95-81-85-97-89-15-14,-1,-1,-1,30378.155587870766,186200.9586503023,0.0,0.0,-15172.04999999995,15173.04999999995
