Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,wind
2019,8,28,20,0.4270175895996452
2019,8,28,21,0.426987369445348
2019,8,28,22,0.41623623156639317
2019,8,28,23,0.3965812978793813
2019,8,28,24,0.3716452236046153
2019,8,29,1,0.34611808252693654
2019,8,29,2,0.3222690761832509
2019,8,29,3,0.3011469525225126
2019,8,29,4,0.29269927631177867
2019,8,29,5,0.28269702596632734
2019,8,29,6,0.2370446720669435
2019,8,29,7,0.21428978893243866
2019,8,29,8,0.21288429763091468
2019,8,29,9,0.20554709388220158
2019,8,29,10,0.19462792827020567
2019,8,29,11,0.18571905676633296
2019,8,29,12,0.1826641937183337
2019,8,29,13,0.1843986415932148
2019,8,29,14,0.19210299620859564
2019,8,29,15,0.20637305208661832
2019,8,29,16,0.255827731557783
2019,8,29,17,0.33325589848552856
2019,8,29,18,0.3813026804439562
2019,8,29,19,0.42287743323674776
2019,8,29,20,0.447433484831873
2019,8,29,21,0.4571367488305187
2019,8,29,22,0.45302401637971534
2019,8,29,23,0.43747756891529094
2019,8,29,24,0.41718412810230426
2019,8,30,1,0.3946952598001136
2019,8,30,2,0.3722027996139407
2019,8,30,3,0.35158029812229913
2019,8,30,4,0.34468264440508006
2019,8,30,5,0.33457028165629454
2019,8,30,6,0.2779488081731136
2019,8,30,7,0.24714881142627457
2019,8,30,8,0.23356066341207296
2019,8,30,9,0.20618516372714846
2019,8,30,10,0.17789115055617097
2019,8,30,11,0.161060917086849
2019,8,30,12,0.15611997922841261
2019,8,30,13,0.1589666200581681
2019,8,30,14,0.16904362282406293
2019,8,30,15,0.19075898012482068
2019,8,30,16,0.2545304526227761
2019,8,30,17,0.3563901497046739
2019,8,30,18,0.41334570119231046
2019,8,30,19,0.4521868097420745
2019,8,30,20,0.4777973192888398
2019,8,30,21,0.48563204133435517
2019,8,30,22,0.48186777144696435
2019,8,30,23,0.47262401464863246
2019,8,30,24,0.462339364309809
2019,8,31,1,0.44972809766255206
2019,8,31,2,0.4315992954092171
2019,8,31,3,0.4100995948181394
2019,8,31,4,0.3983492164758412
2019,8,31,5,0.3733162231392367
2019,8,31,6,0.3072873307216492
2019,8,31,7,0.27298229615631886
2019,8,31,8,0.24130986007404293
2019,8,31,9,0.21202163634125973
2019,8,31,10,0.18105021307430438
2019,8,31,11,0.15979670722319098
2019,8,31,12,0.14928311262232943
2019,8,31,13,0.1469115859947112
2019,8,31,14,0.15247349579475578
2019,8,31,15,0.16750362880605832
2019,8,31,16,0.21710803196545633
2019,8,31,17,0.3078378208614935
2019,8,31,18,0.36640740817836237
2019,8,31,19,0.4067312449998578
2019,8,31,20,0.4357024307232165
2019,8,31,21,0.45127825402387345
2019,8,31,22,0.45744780003000346
2019,8,31,23,0.4581797697513264
2019,8,31,24,0.4526062858514144
