BEGIN_DATA,,,,
Year,Month,Day,Hour,wind 25% top
2017,4,19,24,0.5469501790000291
2017,4,20,4,0.613092637250029
2017,4,20,8,0.5134458247500289
2017,4,20,12,0.48159694825002886
2017,4,20,16,0.4239903897500289
2017,4,20,20,0.34467344800002886
2017,4,20,24,0.27284765425002877
2017,4,21,4,0.4868044122500289
2017,4,21,8,0.4559489517500288
2017,4,21,12,0.3745466102500287
2017,4,21,16,0.32040197075002874
2017,4,21,20,0.2819190650000287
2017,4,21,24,0.30172220075002876
2017,4,22,4,0.4338455882500288
2017,4,22,8,0.4368023077500287
2017,4,22,12,0.40862415550002873
2017,4,22,16,0.2771377307500287
2017,4,22,20,0.23204094950002865
2017,4,22,24,0.2354785055000287
2017,4,23,4,0.41954554800002875
2017,4,23,8,0.5407970957500289
2017,4,23,12,0.5016606277500287
2017,4,23,16,0.31520757175002867
2017,4,23,20,0.3642937047500287
2017,4,23,24,0.43826231975002883
2017,4,24,4,0.673090758750029
2017,4,24,8,0.727251413750029
2017,4,24,12,0.684670395500029
2017,4,24,16,0.5132692057500288
2017,4,24,20,0.5489591895000288
2017,4,24,24,0.5281972047500286
2017,4,25,4,0.6553185390000288
2017,4,25,8,0.6244949447500286
2017,4,25,12,0.5596133907500285
2017,4,25,16,0.46871641325002844
2017,4,25,20,0.4119883902500284
2017,4,25,24,0.4776154390000283
2017,4,26,4,0.5143789390000284
2017,4,26,8,0.5523461390000283
2017,4,26,12,0.6292794055000284
2017,4,26,16,0.6720099415000284
2017,4,26,20,0.5428773060000285
2017,4,26,24,0.4162354735000285
2017,4,27,4,0.30865162675002855
2017,4,27,8,0.2868288090000285
2017,4,27,12,0.30677058700002846
2017,4,27,16,0.2903263465000285
2017,4,27,20,0.4181770410000285
2017,4,27,24,0.4652166937500285
2017,4,28,4,0.4693461825000285
2017,4,28,8,0.45845336775002843
2017,4,28,12,0.35308750950002843
2017,4,28,16,0.2241071435000285
2017,4,28,20,0.26329072725002844
2017,4,28,24,0.27136332975002836
2017,4,29,4,0.4015983085000284
2017,4,29,8,0.44894908125002836
2017,4,29,12,0.4793030485000283
2017,4,29,16,0.4946221275000282
2017,4,29,20,0.5000717580000282
2017,4,29,24,0.5481120755000282
2017,4,30,4,0.6551007417500281
2017,4,30,8,0.6505556650000283
2017,4,30,12,0.6674058575000282
2017,4,30,16,0.6340610037500282
2017,4,30,20,0.7136752752500282
2017,4,30,24,0.7020582955000283
2017,5,1,4,0.6299093425000284
2017,5,1,8,0.5797996362500282
2017,5,1,12,0.6670520927500281
2017,5,1,16,0.541231404250028
2017,5,1,20,0.631215308500028
2017,5,1,24,0.6020782280000281
2017,5,2,4,0.5768887795000281
2017,5,2,8,0.6442901645000281
2017,5,2,12,0.5657113382500281
2017,5,2,16,0.23776735950002803
2017,5,2,20,0.21804821525002804
2017,5,2,24,0.23154331050002808
2017,5,3,4,0.3861976575000281
2017,5,3,8,0.4830745262500281
2017,5,3,12,0.4625799867500281
2017,5,3,16,0.32513727650002805
2017,5,3,20,0.37055771225002804
2017,5,3,24,0.4147118910000281
2017,5,4,4,0.37318318475002815
2017,5,4,8,0.34150170450002815
2017,5,4,12,0.47811771825002825
2017,5,4,16,0.24347194950002837
2017,5,4,20,0.24975974100002832
2017,5,4,24,0.2676533425000283
2017,5,5,4,0.3080134587500284
2017,5,5,8,0.3121251732500284
2017,5,5,12,0.3879710297500284
2017,5,5,16,0.15546088200002844
2017,5,5,20,0.10515527625002845
2017,5,5,24,0.13155349500002844
2017,5,6,4,0.45884360725002843
2017,5,6,8,0.7453577827500286
2017,5,6,12,0.6595906355000287
2017,5,6,16,0.23388917225002864
2017,5,6,20,0.24473222375002865
2017,5,6,24,0.2882289845000286
2017,5,7,4,0.7073150052500286
2017,5,7,8,0.8226579735000286
2017,5,7,12,0.6848297345000286
2017,5,7,16,0.3617966812500285
2017,5,7,20,0.5043006872500285
2017,5,7,24,0.6020962467500286
2017,5,8,4,0.8233422230000286
2017,5,8,8,0.7890692212500283
2017,5,8,12,0.6802859430000283
2017,5,8,16,0.4682864215000283
2017,5,8,20,0.4286415402500283
2017,5,8,24,0.4672431877500283
2017,5,9,4,0.6498624610000281
2017,5,9,8,0.5160299892500282
2017,5,9,12,0.3168089477500282
2017,5,9,16,0.16312404850002826
2017,5,9,20,0.1445733505000283
2017,5,9,24,0.2231585330000283
2017,5,10,4,0.43322124575002824
2017,5,10,8,0.4420583887500284
2017,5,10,12,0.3093090382500284
2017,5,10,16,0.17271836050002848
2017,5,10,20,0.20293982925002846
2017,5,10,24,0.26208910875002844
2017,5,11,4,0.4074431550000285
2017,5,11,8,0.4280123982500284
2017,5,11,12,0.35294434625002846
2017,5,11,16,0.1899259687500284
2017,5,11,20,0.21314360975002836
2017,5,11,24,0.26057164875002836
2017,5,12,4,0.4496213397500283
2017,5,12,8,0.5385334102500284
2017,5,12,12,0.4921562040000285
2017,5,12,16,0.27258741275002846
2017,5,12,20,0.22608644950002843
2017,5,12,24,0.21517717675002845
2017,5,13,4,0.5610585865000285
2017,5,13,8,0.6433243760000285
2017,5,13,12,0.5781629712500285
2017,5,13,16,0.3574933517500283
2017,5,13,20,0.4267628260000282
2017,5,13,24,0.5047946217500282
2017,5,14,4,0.7941879785000282
2017,5,14,8,0.881889355750028
2017,5,14,12,0.7617381122500281
2017,5,14,16,0.4732697565000281
2017,5,14,20,0.38561073850002836
2017,5,14,24,0.34768849150002834
2017,5,15,4,0.6438456912500282
2017,5,15,8,0.6761604485000282
2017,5,15,12,0.5435316157500282
2017,5,15,16,0.2978758222500282
2017,5,15,20,0.3673220612500282
2017,5,15,24,0.5245928487500282
2017,5,16,4,0.6964407760000282
2017,5,16,8,0.6681366972500282
2017,5,16,12,0.5761099522500281
2017,5,16,16,0.45267032100002824
2017,5,16,20,0.4776005617500282
2017,5,16,24,0.5224382650000283
2017,5,17,4,0.6276430595000285
2017,5,17,8,0.6413480300000286
2017,5,17,12,0.6124927972500288
2017,5,17,16,0.6346192822500285
2017,5,17,20,0.7103628120000287
2017,5,17,24,0.7636763405000287
2017,5,18,4,0.8219158447500287
2017,5,18,8,0.7325748127500287
2017,5,18,12,0.6092201970000286
2017,5,18,16,0.5502337692500285
2017,5,18,20,0.5159595425000285
2017,5,18,24,0.5261914450000285
2017,5,19,4,0.6058726700000285
2017,5,19,8,0.5244288377500286
2017,5,19,12,0.3659657922500285
2017,5,19,16,0.30674372025002855
2017,5,19,20,0.3308086487500286
2017,5,19,24,0.4336818117500286
2017,5,20,4,0.4831591442500284
2017,5,20,8,0.4770011132500285
2017,5,20,12,0.3914481040000286
2017,5,20,16,0.3755405977500287
2017,5,20,20,0.4196244585000286
2017,5,20,24,0.4038576365000286
2017,5,21,4,0.3696774095000286
2017,5,21,8,0.36583626725002855
2017,5,21,12,0.4121467027500286
2017,5,21,16,0.33502714800002864
2017,5,21,20,0.39487674375002857
2017,5,21,24,0.3985609695000286
2017,5,22,4,0.40106006275002853
2017,5,22,8,0.4539348397500286
2017,5,22,12,0.4378556155000285
2017,5,22,16,0.24644841050002855
2017,5,22,20,0.3103472547500285
2017,5,22,24,0.36248908600002844
2017,5,23,4,0.3762487955000285
2017,5,23,8,0.41715672000002835
2017,5,23,12,0.4361385365000284
2017,5,23,16,0.45698967175002836
2017,5,23,20,0.5024598287500284
