BEGIN_DATA,,,,
Year,Month,Day,Hour,solar 25% top
2017,7,17,12,1.6491148724373517e-14
2017,7,17,16,0.4221819785000165
2017,7,17,20,0.7263391852500165
2017,7,17,24,0.6372937452500166
2017,7,18,4,0.16569476675001663
2017,7,18,8,1.66195182615958e-14
2017,7,18,12,1.5700001661951825e-07
2017,7,18,16,0.4493911715000166
2017,7,18,20,0.7449838350000166
2017,7,18,24,0.6329867507500166
2017,7,19,4,0.1507161885000167
2017,7,19,8,1.6698448179752745e-14
2017,7,19,12,7.025001669844818e-08
2017,7,19,16,0.3845137965000167
2017,7,19,20,0.6844065565000168
2017,7,19,24,0.5849117232500168
2017,7,20,4,0.13622967625001686
2017,7,20,8,1.6865848995184507e-14
2017,7,20,12,1.8300016865848997e-08
2017,7,20,16,0.39704968200001683
2017,7,20,20,0.6874792152500169
2017,7,20,24,0.584775460250017
2017,7,21,4,0.14597072525001686
2017,7,21,8,1.6871053165612437e-14
2017,7,21,12,1.6871053165612437e-14
2017,7,21,16,0.41629869250001683
2017,7,21,20,0.7171390290000168
2017,7,21,24,0.6227888905000168
2017,7,22,4,0.16058091325001683
2017,7,22,8,1.682595035523704e-14
2017,7,22,12,1.682595035523704e-14
2017,7,22,16,0.4276520562500168
2017,7,22,20,0.7322838555000167
2017,7,22,24,0.6219932972500167
2017,7,23,4,0.16753657400001673
2017,7,23,8,1.6747887798818084e-14
2017,7,23,12,1.6747887798818084e-14
2017,7,23,16,0.39529051425001677
2017,7,23,20,0.7155773035000167
2017,7,23,24,0.5906733162500166
2017,7,24,4,0.14311062650001666
2017,7,24,8,1.665854953980528e-14
2017,7,24,12,1.665854953980528e-14
2017,7,24,16,0.3743986745000166
2017,7,24,20,0.6564029387500167
2017,7,24,24,0.5079129987500166
2017,7,25,4,0.10528068950001655
2017,7,25,8,1.656053766341259e-14
2017,7,25,12,1.656053766341259e-14
2017,7,25,16,0.33750638550001655
2017,7,25,20,0.6420690620000165
2017,7,25,24,0.5192488265000165
2017,7,26,4,0.11752470825001646
2017,7,26,8,1.6455586893115992e-14
2017,7,26,12,1.6455586893115992e-14
2017,7,26,16,0.4091312425000164
2017,7,26,20,0.7093068967500166
2017,7,26,24,0.5764505895000164
2017,7,27,4,0.12783824775001634
2017,7,27,8,1.6340227781963534e-14
2017,7,27,12,1.6340227781963534e-14
2017,7,27,16,0.4066725497500163
2017,7,27,20,0.6897044167500163
2017,7,27,24,0.5707141742500164
2017,7,28,4,0.13506506650001632
2017,7,28,8,1.6316809015037848e-14
2017,7,28,12,1.6316809015037848e-14
2017,7,28,16,0.3449335277500163
2017,7,28,20,0.6693969555000162
2017,7,28,24,0.5682636680000162
2017,7,29,4,0.13080798700001614
2017,7,29,8,1.613856617788123e-14
2017,7,29,12,1.613856617788123e-14
2017,7,29,16,0.39008632325001613
2017,7,29,20,0.7045021275000163
2017,7,29,24,0.5898941895000163
