status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,ev_load,ev2_pct,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,7614.417634,0.866850824,0,1,0.678628577,0.72,0.350567853,0.18,0.647840643,-0.180797923,Mike_EV\Looping_Sol_Bat_evLoad0p9_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p9_pctEVLoad20p2_20220317-214647.xlsx,1,0.72,0.18,9.00E-01,20%,0.006578102,4.858599165,0,0,0.120154076,57.47833151,0.272143623,0,160.092,0.72,12.57469549,40.023,0.665958816,8.966030922,0,0,0,1.344281262,0.485958816,0,1.44,2.44,0.590163934
optimal,7810.625041,0.889187732,0,1,0.633128117,0.8,0.381405221,0.2,0.61776099,-0.172616759,Mike_EV\Looping_Sol_Bat_evLoad1_pctEVLoad20p2\Looping_Sol_Bat_evLoad1_pctEVLoad20p2_20220317-222236.xlsx,1,0.8,0.2,1.00E+00,20%,0.004600001,5.108461867,0,0,0.120154076,60.50037997,0.272143623,0,177.88,0.8,14.1787957,44.47,0.68714464,9.861165348,0,0,0,1.344281262,0.48714464,0,1.6,2.6,0.615384615
optimal,7305.162433,0.831644175,0,1,0.73301812,0.56,0.292394045,0.14,0.68314812,-0.160755347,Mike_EV\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p2_20220317-204254.xlsx,1,0.56,0.14,7.00E-01,20%,0.012163785,4.301775743,0,0,0.120154076,50.94433742,0.272143623,0,124.516,0.56,9.754719854,31.129,0.622320111,7.250198591,0,0,0,1.344281262,0.482320111,0,1.12,2.12,0.528301887
optimal,7892.684437,0.898529649,0,1,0.898529654,7.00E-11,0,3.00E-11,0.763260016,-5.51E-09,Mike_EV\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p3_20220317-163617.xlsx,1,7.00E-11,3.00E-11,1.00E-10,30%,0.018475738,3.134849077,0,0,0.120154076,34.70658642,0.272143623,0,1.56E-08,7.00E-11,0,6.67E-09,6.07E-10,0,29.44240431,0.483380902,4.99543785,0,5.77E-10,0,1.40E-10,1,1.40E-10
optimal,7395.687021,0.841949797,0,1,0.897940931,0.14,0.071468142,0.06,0.790317502,-0.113415724,Mike_EV\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p3_20220317-173941.xlsx,1,0.14,0.06,2.00E-01,30%,0.021047439,3.084292978,0,0,0.120154076,36.11098424,0.272143623,0,31.129,0.14,2.175898678,13.341,0.076342375,1.563718653,16.4059782,0.463557936,4.534732064,0.347532518,0.016342375,0,0.28,1.28,0.21875
optimal,7165.861743,0.815785718,0,1,0.893543823,0.21,0.059000601,0.09,0.797507436,-0.161923901,Mike_EV\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p3_20220317-181031.xlsx,1,0.21,0.09,3.00E-01,30%,0.02047527,3.280872108,0,0,0.120154076,38.67583087,0.272143623,0,46.6935,0.21,3.431274237,20.0115,0.210960904,3.257652648,9.215469713,0.358017735,3.095162232,0.56211418,0.120960904,0,0.42,1.42,0.295774648
optimal,6959.765248,0.792323002,0,1,0.878059613,0.28,0.184663254,0.12,0.785119948,-0.231656716,Mike_EV\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p3_20220317-190635.xlsx,1,0.28,0.12,4.00E-01,30%,0.020320897,3.485917868,0,0,0.120154076,41.30751405,0.272143623,0,62.258,0.28,4.713242738,26.682,0.526798842,5.940626785,1.716761952,0.071114006,0.447649011,1.03736771,0.406798842,0,0.56,1.56,0.358974359
optimal,6895.468925,0.785003293,0,1,0.74082946,0.35,0.276756442,0.15,0.684488693,-0.155364225,Mike_EV\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p3_20220317-194219.xlsx,1,0.35,0.15,5.00E-01,30%,0.015977096,3.797174457,0,0,0.120154076,44.86162634,0.272143623,0,77.8225,0.35,5.585992515,33.3525,0.630706479,7.24133306,0,0,0,1.344281262,0.480706479,0,0.7,1.7,0.411764706
optimal,6973.281806,0.793861772,0,1,0.74064087,0.42,0.277115075,0.18,0.684634453,-0.18640163,Mike_EV\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p3_20220317-201534.xlsx,1,0.42,0.18,6.00E-01,30%,0.011692831,4.127167523,0,0,0.120154076,48.57129057,0.272143623,0,93.387,0.42,6.433221544,40.023,0.66359376,8.376559497,0,0,0,1.344281262,0.48359376,0,0.84,1.84,0.456521739
optimal,7075.271579,0.80547263,0,1,0.682748377,0.49,0.354034798,0.21,0.641874305,-0.185546402,Mike_EV\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p3\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p3_20220317-204539.xlsx,1,0.49,0.21,7.00E-01,30%,0.007927891,4.43666754,0,0,0.120154076,52.10581612,0.272143623,0,108.9515,0.49,7.437428079,46.6935,0.696185356,9.499052432,0,0,0,1.344281262,0.486185356,0,0.98,1.98,0.494949495
