Demand data from Toktarova 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand (MW)
2019,1,10,7,1.0520344515011237
2019,1,10,8,1.0509258433009143
2019,1,10,9,1.049781210021476
2019,1,10,10,1.0486043461259245
2019,1,10,11,1.0473992246403458
2019,1,10,12,1.0461683900870649
2019,1,10,13,1.0449130924068728
2019,1,10,14,1.0436353404331835
2019,1,10,15,1.0423382143772324
2019,1,10,16,1.0410259997503035
2019,1,10,17,1.0397041873637287
2019,1,10,18,1.0383792501251763
2019,1,10,19,1.0370582859127095
2019,1,10,20,1.0357466962561759
2019,1,10,21,1.0342676591743791
2019,1,10,22,1.0326007292072363
2019,1,10,23,1.030974422315804
2019,1,10,24,1.0295964518751146
2019,1,11,1,1.0284233824426787
2019,1,11,2,1.0273119618756892
2019,1,11,3,1.0262191564983385
2019,1,11,4,1.0251829109417845
2019,1,11,5,1.0241889848091572
2019,1,11,6,1.0232401011857517
2019,1,11,7,1.0209439153117816
2019,1,11,8,1.018740403619322
2019,1,11,9,1.0166240306562984
2019,1,11,10,1.0145412721724063
2019,1,11,11,1.0123928025154971
2019,1,11,12,1.0100485832025554
2019,1,11,13,1.0073777722171993
2019,1,11,14,1.0042861329519297
2019,1,11,15,1.000744872127809
2019,1,11,16,0.9968064426173199
2019,1,11,17,0.9926021774850121
2019,1,11,18,0.9883218445274181
2019,1,11,19,0.9841796746679817
2019,1,11,20,0.9803741852887734
2019,1,11,21,0.9770164871979722
2019,1,11,22,0.9741715326759721
2019,1,11,23,0.9718757932094271
2019,1,11,24,0.9700866368892133
2019,1,12,1,0.9686683112172695
2019,1,12,2,0.9674555115239742
2019,1,12,3,0.9663236008561595
2019,1,12,4,0.9651946364773523
2019,1,12,5,0.9640602259279554
2019,1,12,6,0.9629395647272603
2019,1,12,7,0.9632630315476967
2019,1,12,8,0.9636172558397422
2019,1,12,9,0.9639992020329046
2019,1,12,10,0.9644057006344632
2019,1,12,11,0.9648337607146682
2019,1,12,12,0.9652826680216388
2019,1,12,13,0.9657537171369088
2019,1,12,14,0.9662473098271604
2019,1,12,15,0.9667621961516033
2019,1,12,16,0.9672953405397446
2019,1,12,17,0.9678419664321327
2019,1,12,18,0.9683958241248121
2019,1,12,19,0.9689496818174913
2019,1,12,20,0.969497602291413
2019,1,12,21,0.9701914533526939
2019,1,12,22,0.9710660547805148
2019,1,12,23,0.9719198982630552
2019,1,12,24,0.9725499130625056
2019,1,13,1,0.9729925706655207
2019,1,13,2,0.9733859895295154
2019,1,13,3,0.973775747852622
2019,1,13,4,0.9741299275039252
2019,1,13,5,0.9744630813654926
2019,1,13,6,0.9747744059039585
2019,1,13,7,0.9750633207896697
2019,1,13,8,0.9766814584252176
2019,1,13,9,0.9782413845324947
2019,1,13,10,0.979798676835962
2019,1,13,11,0.9814543126952424
2019,1,13,12,0.983338777000777
2019,1,13,13,0.9855822867985512
2019,1,13,14,0.9882788108516101
2019,1,13,15,0.9914577674092859
2019,1,13,16,0.9950681767435995
2019,1,13,17,0.9989811163900987
2019,1,13,18,1.0030098987634863
2019,1,13,19,1.0069438641997215
2019,1,13,20,1.0105864595094054
2019,1,13,21,1.0136572515479096
2019,1,13,22,1.0160622715521896
2019,1,13,23,1.0179853054592776
2019,1,13,24,1.0196619671082938
2019,1,14,1,1.0211825647213941
2019,1,14,2,1.0225733470551917
2019,1,14,3,1.0239157834648196
2019,1,14,4,1.02533000218845
2019,1,14,5,1.0267988165402053
2019,1,14,6,1.0283027185155962
2019,1,14,7,1.0298057276761365
2019,1,14,8,1.029930855677473
2019,1,14,9,1.0300751791981009
2019,1,14,10,1.0302407963529199
2019,1,14,11,1.030429760616087
2019,1,14,12,1.0306484556137845
2019,1,14,13,1.0309068362315994
2019,1,14,14,1.0312128931624456
2019,1,14,15,1.0315714476065176
2019,1,14,16,1.0319837495046065
2019,1,14,17,1.0324474328973572
2019,1,14,18,1.0329569623326955
2019,1,14,19,1.0335047488843896
2019,1,14,20,1.0340814626372488
2019,1,14,21,1.0345847870093743
2019,1,14,22,1.034977938028914
2019,1,14,23,1.035383052767454
2019,1,14,24,1.035919411289058
2019,1,15,1,1.0365662110077032
2019,1,15,2,1.0372465805647375
2019,1,15,3,1.037942351177948
2019,1,15,4,1.0386662008182153
2019,1,15,5,1.0394175937966288
2019,1,15,6,1.0401946552020025
2019,1,15,7,1.0409952869194365
2019,1,15,8,1.0418172122710614
2019,1,15,9,1.042657976016038
2019,1,15,10,1.043514855069071
2019,1,15,11,1.04438503706338
2019,1,15,12,1.0452638793617421
2019,1,15,13,1.0461453554639137
2019,1,15,14,1.0470239299178203
2019,1,15,15,1.0478949154454955
2019,1,15,16,1.0487549193505064
2019,1,15,17,1.049601575673498
2019,1,15,18,1.0504335898329367
2019,1,15,19,1.0512502029361999
2019,1,15,20,1.0520522185166528
2019,1,15,21,1.0529964595028343
2019,1,15,22,1.0541388607451456
2019,1,15,23,1.055271396383356
2019,1,15,24,1.056173273304868
2019,1,16,1,1.0568751150590638
2019,1,16,2,1.0575153525885561
2019,1,16,3,1.0581334929504913
2019,1,16,4,1.058676547583476
2019,1,16,5,1.059171211651549
2019,1,16,6,1.0596145835064448
2019,1,16,7,1.0600040293443538
2019,1,16,8,1.0603370492836934
2019,1,16,9,1.060611322005852
2019,1,16,10,1.0608248386774153
2019,1,16,11,1.060975724387197
2019,1,16,12,1.0610629077573757
2019,1,16,13,1.0610859423805263
2019,1,16,14,1.0610444264899654
2019,1,16,15,1.0609379583190104
2019,1,16,16,1.0607660021787506
2019,1,16,17,1.0605279330987911
2019,1,16,18,1.060223126108736
2019,1,16,19,1.0598510008789324
2019,1,16,20,1.0594105306723014
2019,1,16,21,1.0588263172746957
2019,1,16,22,1.0580829596299388
2019,1,16,23,1.0572801405161205
2019,1,16,24,1.056503346955202
2019,1,17,1,1.0557344548057128
2019,1,17,2,1.0549161899949757
2019,1,17,3,1.0540340889224085
2019,1,17,4,1.0530987314439921
2019,1,17,5,1.0521137334598727
2019,1,17,6,1.0510822198220275
2019,1,17,7,1.050007493945405
2019,1,17,8,1.0488930824486653
2019,1,17,9,1.047742645872697
2019,1,17,10,1.0465600233213581
2019,1,17,11,1.0453491431799917
2019,1,17,12,1.0441163890747818
2019,1,17,13,1.0428701534653246
2019,1,17,14,1.0416178913556253
2019,1,17,15,1.0403656738866682
2019,1,17,16,1.0391177865697374
2019,1,17,17,1.0378767292864153
2019,1,17,18,1.0366435287737799
2019,1,17,19,1.0354181850318316
2019,1,17,20,1.0341993141975512
2019,1,17,21,1.0328477710764454
2019,1,17,22,1.0313081118662808
2019,1,17,23,1.0297749255637842
2019,1,17,24,1.028440078080388
2019,1,18,1,1.0272748207778968
2019,1,18,2,1.0261588914959112
2019,1,18,3,1.0250603721035154
2019,1,18,4,1.024012743157614
2019,1,18,5,1.0230074336356394
2019,1,18,6,1.0220472112636292
2019,1,18,7,1.019739686641054
2019,1,18,8,1.0175248361999898
2019,1,18,9,1.0153971691291035
2019,1,18,10,1.013303027255864
2019,1,18,11,1.0111431742096075
2019,1,18,12,1.0087908749222658
2019,1,18,13,1.0061213585184434
2019,1,18,14,1.0030449417463794
2019,1,18,15,0.9995354204902035
2019,1,18,16,0.9956451137001715
2019,1,18,17,0.9915028991999925
2019,1,18,18,0.9872939467897179
2019,1,18,19,0.9832264608925491
2019,1,18,20,0.9794936020014515
2019,1,18,21,0.9763704910126921
2019,1,18,22,0.9739898002130959
2019,1,18,23,0.9721542621613841
2019,1,18,24,0.970579917094267
2019,1,19,1,0.9691724391227604
2019,1,19,2,0.9679310693542403
2019,1,19,3,0.9667878199378206
2019,1,19,4,0.9656604626257448
2019,1,19,5,0.9645276145023367
